机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02557,2937    ,DE    ,CC    ,57186-10                ,K2119           ,29, , ,SCH   ,2007-05-13,40166:13,26103,22314:22,11126,2008-11-20,44753:19,28944,26901:28,13967,,4587:06,"   航后完成工作指令MAOTS290029更换B系统电动泵,安装检查正常,通电测试正常.钟远峰AF ACCOMPLISHED THE TASK MAOTS290029,REPLACED THE SYSTEM EMDP,CHECKED AND TEST IT OK.",2841,57186-10                ,K2074           ,武汉航达,18110.0,28554.09,4587:06,2841,（完全禁订）PUMP                                            ,619954,0704329 
73C,73C02543,2990    ,DE    ,CC    ,57186-10                ,279046          ,29,X,X,FAIL  ,1998-03-12,00:00,0,00:00,0,2005-07-14,31625:18,26056,31625:18,26056,过站机组反映B系统压力指示3500PSI，超标。 吴征,31625:18, 更换B系统EMDP，按要求完成EMDP壳体油滤、压力油滤、系统回油滤及右发EDP壳体回油滤检查冲洗，试车检查无渗漏。吴征 挂签号HG0014977,26056,57186-10                ,K1505           ,,6401.0,10738.01,, ,（完全禁订）PUMP                                            ,211143,10061934
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,K0488           ,29,X,X,FAIL  ,1999-05-15,00:00,0,00:00,0,2005-06-30,24912:34,14929,24912:34,14929,AF发现A系统在EMDP工作时，压力指示为3300PSI 丁平,24912:34,  AF根据MM29-15-22更换A系统EMDP，根据MM29-15-34更换A系统EMDP壳体回油滤打泵测试无渗漏，长时间工作，压力稳定在3000PSI 丁平供气：1002481  P/N:65-90305-58  NAS1612-6 NAS1612-10 NAS1612-12,14929,57186-10                ,K0810           ,,37950.0,58843.16,, ,（完全禁订）PUMP                                            ,207027,10062857
73C,73C02557,2937    ,DE    ,CC    ,57186-10                ,279050          ,29,X,X,FAIL  ,1993-12-23,00:00,0,00:00,0,2006-03-03,36309:56,23871,36309:56,23871,空中A系统电动液压泵过热灯亮，机组完成检查单，正常落地。苏吉龙,36309:56,      过站将过热电门插头脱开，OVERHEAT灯仍亮，证明为灯指示问题，按MEL29-7放行航后处理。殷邦德L10141975 航后判断为EMDP引起过热灯亮，按MM29-15-21更换，并测试故障消失，请继续观察使用。 詹新权L10141976 航后更换EMDP壳体回油滤并回恢复正常测试无渗漏，詹新权P/N:NAS1612-6;NAS1612-10ON PN:65-90305-50,23871,887477                  ,MX-543639       ,,11719.0,19381.44,, ,（完全禁订）PUMP                                            ,277424,10141974
73C,73C02342,2579    ,DE    ,CC    ,57186-10                ,267896          ,29,X,X,FAIL  ,1999-01-28,00:00,0,00:00,0,2006-12-05,40681:37,25921,40681:37,25921,B系统1号电动液压泵过热. 机务,40681:37,"      过站检查B系统EMDP MIN温度高,据AMM29-15-22更换EMDP,据AMM29-15-27更换B系统消音器和油滤,据AMM29-15-61更换B系统回油滤,据AMM29-15-71更换B系统压力油滤,据AMM29-15-34更换 PN:65-90305-66 系统回油滤 65-90305-58壳体油滤 孙国生 TL10168568B系统壳体回油滤,清洗B系统油路,更换B系统液压油,地面测试B系统工作正常,无渗漏. 挂签号:0003789 9535725 PN:65-90305-15 压力油滤张国生",25921,57186-10                ,270384          ,,21747.0,42285.27,, ,（完全禁订）PUMP                                            ,360424,10168567
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,K0370           ,29,X,X,FAIL  ,1996-08-24,00:00,0,00:00,0,2007-04-26,33022:28,21073,33022:28,21073,航后检查B系统EMDP壳体回油滤有大量金属屑,33022:28,"    依据AMM29-15-22更换B系统EMDP,并更换B系统EMDP,EDP壳体回油滤压力油滤，系统回油滤，并试车测试正常，办理DD3001419 。程全PN:65-90305-58/65-90305-66/65-90305-15 
TL10217826 航后撤DD3001419，更换壳体回油滤。寇秀华
壳体回油滤：65-90305-58",21073,57186-10                ,K1906           ,,23065.0,42453.14,, ,（完全禁订）PUMP                                            ,409565,10217808
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,K0494           ,29,X,X,FAIL  ,1997-03-14,00:00,0,00:00,0,2008-11-11,35427:06,21292,35427:06,21292,空中B系统电动液压泵低压灯亮。机组,35427:06,"           检查B系统EMDP壳体余油滤有大量金属屑，更换EMDP壳体回油滤，压力油滤，回油滤及消音器，并完成管路冲洗，测试B系统EMDP工作正常，办理OIFC7096591和7096592。严策   TR found metal partial on EMDP case drain filterreplaced B EMDP,case filter,pressure filter,return filter andacoustic filter,flushed the hydraulic tube,test B EMDP workednormal,raised OIFC7096591  7096592. 壳体油滤65-90305-58回油滤65-90305-66 压力油滤65-90305-15FL10258573航后更换B系统EMDP壳体油滤压力油滤和回油滤地面检查无渗漏无金属屑操作测试正常关闭FC7096592.成功 AF replace the B system EMDPoil sieve pressure oil sieve and return oil sieve and test ok closeFC7096592.
油滤　65-90305-58　65-90305-66　65-90305-15",21292,887477                  ,MX-492433       ,,44380.0,70220.43,, ,（完全禁订）PUMP                                            ,615527,10252028
73C,73C02939,2989    ,DE    ,CC    ,57186-10                ,K0623           ,29,X,X,FAIL  ,2003-08-27,00:00,0,00:00,0,2007-07-05,30853:51,17708,30853:51,17708,TL10261788,30853:51,  航后检查发现EMDP泵插头上销钉存在短路现象，更换EMDP泵通电测试正常PN ON:NAS1612-6  PN ON:NAS1612-10   PN ON:NAS1612-12挂签号：1104755　　　高青松,17708,57186-10                ,K1227           ,,23454.0,38583.28,, ,（完全禁订）PUMP                                            ,433745,10261792
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,278366          ,29, , ,SCH   ,2009-01-23,35978:01,21624,00:00,0,2009-01-24,35988:02,21630,10:01,6,,10:01,"    因借件需拆还，航后更换B系统EMDP泵，测试系统工作正常。无渗漏  AF due to return EMDP ,replace the system B electric motordriven pump ,test HYD system work normal.and no leakage .挂签 号：2019535.封圈：NAS1612-12;NAS1612-6;NAS1612-10洪永锋",6,57186-10                ,K2352           ,,16632.0,32192.49,, ,（完全禁订）PUMP                                            ,651955,10272675
73C,73C02922,2987    ,DE    ,CC    ,57186-10                ,256862          ,29,X,X,FAIL  ,2003-03-30,00:00,0,00:00,0,2007-12-07,32535:18,18721,32535:18,18721,飞行中B系统液压泵的电动1#泵（ELEC1）灯亮，按检查单处理。王庆凯,32535:18,"   过站检查发现B系统EMDP泵损坏，依据29-15-22更换EMDP,测试无渗漏并完成冲洗B系统管路工作，依据手册要求办理FC7074074.王强PN:65-90305-9A 65-90305-582007-12-12,更换EMDP回油滤.撤除FC7074074.叶少冬",18721,57186-10                ,K1747           ,,32073.0,50225.19,, ,（完全禁订）PUMP                                            ,485943,10281109
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,K1906           ,29,X,X,FAIL  ,2007-04-26,33022:28,21073,22725:18,11701,2008-02-02,35449:17,22470,25152:07,13098,AF检查B系统EMDP不工作。 严策,2426:49,"         检查B系统EMDP壳体余油滤发现大量金属屑，按AMM29-15-22更换B系统EMDP及其壳体回油滤压力油滤、消音器和B系统回油滤，并完成系统冲洗，依据手册办理FC7074827和FC7074825.     严策 
20080209 PEK T10305587 航后更换B系统壳体余油滤,地面测试系统工作正常
无渗漏,依据AMM29-00-00,并撤FC7074827.马志强 PN:65-90305-58TL:10323910 航后更换B系统壳体油滤，压力油滤，回油滤，测试正常，未发现渗漏，撤FC7074825。 AF REPLORAE SYSTEN B CASE DRAIN FILTER,PRESSUREFILTER,RETURN FILTER, THE RESULT IS NORMAL NO FIND LEAKAGE,CLOSES THEFC 7074825. 壳体油滤：65-90305-58  压力油滤：65-90305-15回油滤：65-90305-66 丁湛",1397,57186-10                ,K1639           ,武汉航达,21768.0,40896.56,2426:49,1397,（完全禁订）PUMP                                            ,508584,10281924
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,K0447           ,29,X,X,FAIL  ,2007-04-25,33013:24,21065,31901:28,20392,2011-12-07,45850:44,28718,44738:48,28045,空中ELEC 2 OVERHEAT灯亮。刘亮The ELEC 2 OVERHEAT light is on.,12837:20,"        过站检查A系统EMDP工作正常，液压油量100%，请回基地继续检查处理。吴立文TR checked EMDP is normal.HYD OTY 100%,please to base check.10486299A航后检查A系统壳体油滤有金属屑，依据AMM29-15-22更换A系统。阎峰FILTER KIT：65-90305-58SYSTEM FILTER：65-9035-66AF check and find the A SYS oil filter have several metal particlesrefer to AMM29-15-22 replaced the A SYS EMDP oil filter systemreturn oil filter,test is normal.",7653,57186-10                ,571864851       ,武汉航达,15167.0,29363.28,12837:20,7653,（完全禁订）PUMP                                            ,1416248,10486298
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,571864851       ,29,X,X,FAIL  ,2011-12-07,45850:44,28718,12117:23,6107,2012-01-08,46108:31,28859,12375:10,6248,航后检查发现A系统EMDP本体漏油。AF checked and found the A system EMDP leak.陈培火昆,257:47,"   航后根据AMM29-11-21更换A系统EMDP,测试正常。AF refer AMM29-11-21 replaced the A system EMDP, test ok.陈培火昆封圈   NAS1612-6     NAS1612-10   NAS1612-12",141,57186-10                ,571865605       ,PARKER  US,452.0,886.53,257:47,141,（完全禁订）PUMP                                            ,1447603,10498266
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,571865605       ,29, , ,SCH   ,2012-01-08,46108:31,28859,00:00,0,2012-01-12,46146:16,28883,37:45,24,,37:45,   航后完成工卡TZ-H29-15-22-001EMDP(ABEX泵）更换，测试正常。 AFaccomplished the job card TZ-H29-15-22-001 Electric motor drivenpump(EMDP)replacement test ok. 洪永锋 RII 赵良深 封圈 NAS1612-12封圈NAS1612-10 封圈NAS1612-6,24,887477                  ,MX652408        ,,10252.0,17409.53,, ,（完全禁订）PUMP                                            ,1451736,10498277
73C,73C02342,2579    ,DE    ,CC    ,57186-10                ,K0329           ,29,X,X,FAIL  ,1998-04-24,00:00,0,00:00,0,2012-04-26,55411:40,34660,55411:40,34660,空中A系统(液压)电动液压泵过热灯亮.按检查单处置.黄荣,55411:40,"       航后检查A系统EMDP壳体回油滤有大量金属销,依据AMM2915更换A系统EMDP、壳体回油滤、系统回油滤、压力油滤、测试泵工作正常。无渗漏。生成FC：201204923、FC：201204924。冲洗A系统液压管路。江南A large metal particles were found in case drain filter of SYS AEMDP,I A W AMM2915 replace SYS A EMDP case filter,SYS return filterpressure filter check no leakage FC201204923 FC201204924 raised,flushSYS A hydraulic lines.FILTER:7577741/AC7693F15/AC7681EIY2",34660,57186-10                ,571863693       ,,11441.0,22008.35,, ,（完全禁订）PUMP                                            ,1563696,10499789
73C,73C01866,2960    ,DE    ,CC    ,57186-10                ,278476          ,29, , ,SCH   ,2012-11-25,65531:07,38082,00:00,0,2012-11-29,65564:00,38099,32:53,17,,32:53,   航后完成B系统EMDP借件拆还，依据AMM29-15-22测试EMDP工作正常。无渗漏。AF accomplished EMDP of B system give backTask refer to AMM29-15-22test he EMDP worked normal. No leakage.马魁   封圈：NAS1612-6 NAS1612-10 NAS1612-12,17,57186-10                ,571864851       ,,15167.0,29363.28,, ,（完全禁订）PUMP                                            ,1806722,10580377
73C,73C01866,2960    ,NRC   ,CC    ,57186-10                ,571864851       ,29,X,X,FAIL  ,2012-11-29,65564:00,38099,12375:10,6248,2013-03-07,66245:27,38502,13056:37,6651,"液压B系统壳体回油滤中发现大量金属屑。 
THERE WERE A LOT OF METAL PARTICLES FOUND IN THE HYDRAULIC SYSTEM B EMDP PRESSURE FILTER.",681:27,"       2
2-1.  参考AMM29-15-22-004-001拆下EMDP。 
REMOVE THE EMDP REFER TO AMM29-11-21-000-802-002.  
2-2.  参考AMM29-15-22-404-019安装EMDP。 
INSTALL THE EMDP REFER TO AMM29-11-21-000-802-002. DIC
2-3.  参考AMM29-15-00-172-037冲洗液压管路。 
FLUSH THE HYDRAULIC SYSTEM A LINES REFERTO AMM29-11-00-170-801.  
2-4.  根据AMM29-15-22-705-060完成B系统EMDP安装测试，确认工作符合手册要求。 
DO SYSTEM B EMDP INASTALLATION TEST REFER TO AMM29-15-22-705-060, MAKE SURE THE EMDP WORKS ACCORD WITH THEMANUAL.  
",403,57186-07                ,240462          ,武汉航达,34081.0,54009.23,681:27,403,（完全禁订）PUMP                                            ,564689,
73C,73C02342,2579    ,NRC   ,CC    ,57186-10                ,270384          ,29,X,X,FAIL  ,2006-12-05,40681:37,25921,39712:33,25673,2009-07-24,48492:30,30677,47523:26,30429,液压B系统EMDP壳体回油滤中发现大量金属屑。THERE WERE A LOT OF METAL PARTICLES FOUND IN THE HYDRAULIC SYSTEM B EMDP CASE DRAIN FILTER.,7810:53,      1.参考AMM29-15-22-004-001拆下EMDP。REMOVE THE EMDP REFER TO AMM29-11-21-000-802-002.AIRP2.参考AMM29-15-22-404-019安装EMDP。INSTALL THE EMDP REFER TO AMM29-11-21-000-802-002.MINPRII3.参考AMM29-15-00-172-037冲洗液压管路。FLUSH THE HYDRAULIC SYSTEM A LINES REFER TO AMM29-11-00-170-801.AIRP挂签号:9001116 张潇,4756,57186-10                ,267898          ,武汉航达,38003.0,57538.39,7810:53,4756,（完全禁订）PUMP                                            ,287506,
73C,73C02581,2938    ,NRC   ,CC    ,57186-10                ,267898          ,29, , ,SCH   ,1997-06-28,00:00,0,00:00,0,2009-06-29,46611:34,31610,46611:34,31610,执行MAO需要更换B系统EMDP。REPLACE SYSTEM B EMDP FOR MAO.,46611:34,"      1.根据AMM29-15-22-004-001拆下B系统EMDP。 REMOVE SYSTEM B EMDP REFER TOAMM29-15-22-004-001.AIRP2.根据AMM29-15-22-404-019装上B系统EMDP。 INSTALL SYSTEM B EMDP REFER TO AMM29-15-22-404-019.MINPRII3.根据AMM29-15-22-705-060完成B系统EMDP安装测试，确认工作符合手册要求。DO SYSTEM B EMDP INASTALLATION TEST REFER TO AMM29-15-22-705-060, MAKE SURE THE EMDP WORKS ACCORD WITH THE MANUAL.AIRP",31610,57186-10                ,K0494           ,,21295.0,35435.24,, ,（完全禁订）PUMP                                            ,283967,
73C,73C02782,2965    ,NRC   ,CC    ,57186-10                ,K0391           ,29,X,X,FAIL  ,1996-04-02,00:00,0,00:00,0,2008-03-19,37068:58,23230,37068:58,23230,液压A系统EMDP泵压力油滤发现金属屑。SYS A EMDP HYDRAULIC PRESSURE FILTER WAS FOUND METAL CONTAMINATION.,37068:58,"     1.参考AMM29-15-22-004-001拆下A系统EMDP REMOVE THE SYSTEM A EMDP REFERTO AMM29-15-22-004-001.AIRP2.参考AMM29-15-22-404-019安装A系统EMDP，并做安装测试,结果符合手册要求INSTALL THE SYSTEM A EMDP REFER TO AMM29-15-22-404-019, DO THE PUMP INSTALLATION TEST,THE TEST RESULT MEETS THE MANAUL REQUIREMENT.AIRPRII挂签号：0115623 包兴令",23230,57186-10                ,571864908       ,,6463.0,10593.03,, ,（完全禁订）PUMP                                            ,223004,
73C,73C02793,2967    ,NRC   ,CC    ,57186-10                ,200482          ,29,X,X,FAIL  ,1997-12-16,00:00,0,00:00,0,2007-05-19,34007:46,21521,34007:46,21521,因液压B系统EMDP泵电插头自锁功能损坏且电插头无料，需更换EMDP泵。WE NEED TO REPLACE THE EMDP BECAUSE THE ELECTRICAL CONNECTOR OF THE BSYSTEM EMDP LOST THE SELF-LOCKING FUNCTION AND THE ELECTRICAL CONNECTOR LOST SHARE .,34007:46,"    1.参考AMM29-15-22-004-001拆下B系统EMDPREMOVE THE SYSTEM B EMDP REFER TO AMM29-15-22-004-001.AIRP2.参考AMM29-15-22-404-019安装B系统EMDP，并做安装测试,结果符合手册要求INSTALL THE SYSTEM B EMDP REFER TO AMM29-15-22-404-019, DO THE PUMP INSTALLATION TEST,THE TEST RESULT MEETS THE MANAUL REQUIREMENTAIRPRII",21521,57186-10                ,K0370           ,,29136.0,46599.32,, ,（完全禁订）PUMP                                            ,204803,
73C,73C02859,2982    ,NRC   ,CC    ,57186-10                ,K0810           ,29, , ,SCH   ,2005-06-30,24912:34,14929,29806:11,19524,2008-11-23,35463:25,21314,40357:02,25909,A液压系统EMDP壳体回油滤发现金属屑。METAL CONTAMINATION FOUND IN THE SYS A EMDP CASE DRAIN FILTER.,10550:51,       1.按AMM29-15-71检查压力油滤。 EXAMIN THE PRESSUE FILTER FOR THE SYS BEMDP REF AMM29-15-71.AIRP2.按AMM29-15-27检查消音器滤。EXAMINE THE ACOUSTIC FILTER REF AMM29-15-27.AIRP3.参考AMM29-15-22更换EMDPREPLACE EMDP REFER TO AMM29-15-22.MINPRII4.参考AMM29-15-22做相关测试，结果符合手册要求REFER TO AMM29-15-22 DO THE TEST，AND THE RESULT ACCORD WITH THE MANUAL。AIRP挂签号：2000224  徐恒？,6385,57186-10                ,571865189       ,,4506.0,7877.26,, ,（完全禁订）PUMP                                            ,246769,
73C,73C02922,2987    ,NRC   ,CC    ,57186-10                ,K0654           ,29,X,X,FAIL  ,2002-02-07,00:00,0,00:00,0,2006-10-17,28852:10,16582,28852:10,16582,A液压系统EMDP壳体回油滤发现金属屑。METAL CONTAMINATION FOUND IN THE SYS B EMDP CASE DRAIN FILTER.,28852:10,"       1.按AMM29-11-21更换B系统EMDP。REPLACE THE SYS B EMDP REF AMM29-11-21.AIRPRII2.按AMM29-15-27检查消音器。EXAMINE THE ACOUSTIC FILTER.AIRP3.参考29-11-00冲洗泵与压力组件之间的液压管路。FLUSH THE  HYDYAULIC LINES BETWEEN THE PREESURE MODULE AND THE HYDRALIC PUMP.AIRP4.参考AMM29-11-21完成泵的更换测试，确认符合手册要求。TEST FOR THE PUMPREPLACEMENT REFER TO AMM29-11-21,MAKE SURE THE TEST ACCORDING WITH THE MANUAL.AIRP",16582,57186-10                ,K1018           ,,23296.0,41619.14,, ,（完全禁订）PUMP                                            ,190390,
73H,73N02501,BKBP    ,DE    ,CC    ,57186-10                ,571864899       ,29,X,X,FAIL  ,2008-01-18,07:26,8,07:26,8,2009-04-09,2980:15,1358,2980:15,1358,"AIRCRAFT RETURN TO GATE AFTER ""B"" ELECTRIC HYDRAULIC PUMP OVERHEATQRH ACTION COMPLETED.",2972:49,    FIM 29-00 TASK 806 CONSULTED. AS PER HKA MCC REQUEST. HYD SYS B EMDPREPLACED AS PER AMM 29-11-21. SYS B EMDP CASE DRAIN FILTER REPLACEDAS PER AMM 29-11-41. HYD SYS B CHECK VALVE LOCATED AT BETWEENRESERVOIR TO EMDP REPLACED. DETAIL WORK PROCESS PLS REFER NRW 302098TO 302100. NRW ATTACHED AT TECH LOG LP0000768.,1350,57186-10                ,571863702       ,,8572.0,16954.36,, ,（完全禁订）PUMP                                            ,690386,76801   
73N,73N01015,2157    ,DE    ,CC    ,57186-10                ,255000          ,29,X,X,FAIL  ,2008-12-07,24840:00,12442,7306:07,4425,2014-12-09,43984:59,22186,26451:06,14169,91A检查发现B系统EMDP壳体回油滤金属屑.     王强IN 91A check found B HYD system EMDP case drain filter meal strap,19144:59,"      依据AMM29-11-21更换B系统EMDP,测试无渗漏泵工作正常,完成液压B系统循环测试,检查EMDP壳体油滤,EMDP压力油滤,系统回油滤未发现金属屑,挂签号3004495        王强     必检签署:李昌林According to AMM29-11-21 freplace the B HYD SYS EMDP test it noleakage pank work normal the HYD B SYS cyde test check the EMDPdrain filter EMDP FLB000021450B pressure filter EMDP seveing filtercheck them no metal strap TAG :3004485 P/N 57186-10  S/N 571867035",9744,57186-10                ,571867035       ,武汉航达,4.0,9.25,19144:59,9744,（完全禁订）PUMP                                            ,2952871,00001450
73N,73N01015,2157    ,DE    ,CC    ,57186-10                ,571867035       ,29, , ,SCH   ,2014-12-09,43984:59,22186,00:00,0,2014-12-10,43994:24,22190,09:25,4,,09:25,"     航后完成 MCO-2014-12-10-47 依据 AMM29-11-21 对B系统EMDP借件拆还,测试泵工作正常, 无渗漏.   李垦  葛明坤AF accomplish MCO-2014-12-10-47 according to AMM29-11-21 replace anew EMDP of bydraulic system B to return test the EMDP work normaland no leak57186-10   571867035  571866265",4,57186-10                ,571866265       ,,12694.0,26121.45,, ,（完全禁订）PUMP                                            ,2954637,00001454
73N,73N01649,5115    ,DE    ,CC    ,57186-10                ,571863432       ,29,X,X,FAIL  ,2005-02-01,00:00,0,00:00,0,2017-04-08,39885:16,20464,39885:16,20464,,39885:16,   航后依据AMM29-11-21 更换B系统EMDP 完成相关测试.结果正常.完成MCD. AFREFER to AMM29-11-21 REPLACE THE emdp test is ok. 尚超 党涛EMDP:OFF:57186-10/K3422   ON:57186-10/K1792 NAS1612-6A NAS1612-10ANAS1612-12A,20464,57186-10                ,K1792           ,,31439.0,61807.12,, ,（完全禁订）PUMP                                            ,4872703,00001959
73N,73N00972,2159    ,DE    ,CC    ,57186-10                ,571865680       ,29,X,X,FAIL  ,2013-07-20,39822:03,19804,11395:29,5785,2014-12-25,44286:26,22091,15859:52,8072,检查发现B系统壳体油滤发现金属屑.   吴传勇Check and found case filt cifb system have metanic particles,4464:23,"   依据AMM29-11更换B系统(EMDP)电动液压泵,检查测试正常     吴传勇According to AMM29-11 replaced electric  nitor draiven plemp (EMDP)check cond tes tok     必检签署:李昌林P/N 57186-10 S/N 571865680  S/N ON   57186K3007",2287,57186-10                ,57186K3007      ,PARKER  US,8.0,17.53,4464:23,2287,（完全禁订）PUMP                                            ,2982740,00002929
73N,73N00972,2159    ,DE    ,CC    ,57186-10                ,57186K3007      ,29,X,X,FAIL  ,2014-12-25,44286:26,22091,00:00,0,2014-12-27,44304:19,22099,17:53,8,,17:53,"   AF依据AMM29-11-21更换B系统EMDP并完成相关测试,依据AMM29-11-00办理FC201430128       李新AF replace EMDP sys B refer to AMM29-11-21 and do FC201430120FC201430128 refer to AMM29-11-00",8,57186-10                ,571866914       ,,11360.0,23186.38,, ,（完全禁订）PUMP                                            ,2986111,00002937
73N,73N00551,5089    ,DE    ,CC    ,57186-10                ,571865110       ,29,X,X,FAIL  ,2010-05-18,27404:16,19038,2935:37,1464,2017-08-30,48595:55,28893,24127:16,11319,,21191:39,  航后完成MCO依据AMM29-11-21更换A系统EMDP测试正常AF accomplished MCO replace EMDP of SYS A test ok王晓宇 林炜,9855,887477                  ,MX759530        ,PARKER  US,6765.0,13792.19,21191:39,9855,（完全禁订）PUMP                                            ,5284423,00008358
73N,73N01649,5115    ,DE    ,CC    ,57186-10                ,571864056       ,29,X,X,FAIL  ,2016-03-23,37145:14,18670,24778:02,12593,2018-09-22,44596:18,23439,32229:06,17362,ELEC 2 HYD PCIMP OVERRHEAT LAMP ILLCIMNATED IN FLIGHTSJW机务,7451:04,"                检查发现A系统EMDP跳开关无法复位,依据AMM29-11-41检查EMDP壳体油滤发现大量金属屑依据AMM29-11-21更换A系统EMDP,依据AMM29-11-61更换A系统回油滤,依据AMM29-11-41更换A系统EMDP壳体油滤,依据AMM29-11-71更换A系统压力组件油滤,依据AMM29-22-21更换PTU压力油滤,打压测试EMDP工作正常,无渗漏,TAG:7029649CHECK FIND THE C/B NOT RESET OF A SYSTEM EMDP REF TO AMMFLB:00009231ATO AMM29-11-41 CHECK FIND HAVE A MANY METAL FILING REF TOAMM29-11-1 REPLACE THE EMDP OF A SYSTEM REF TO AMM29-11-61 REPLACE THE RETURN FILTER ELEMENT OF A SYSTEM REF TO AMM29-11-41 REPALCE THEEMDP CUSEDRAIN KILTER ELEMENT A SYSTEMREF TO AMM29-11-71 REPLAC THE PRESSURE MODULD FILEER ELEMENTREF TO AMM29-22-21 REPLACE THE PTU PRESSURE FILTER ELEMENT PRESSURETEST EMDP WORK OK     赵光华   屈永辉油滤:7588561   封圈:NAS51611-242   NAS1611-214  NAS1611-228   NAS1611-114    油滤:7513128     7577741EMDP;OFF:57186-10/无法识别  ON:57186-11/5718610227",4769,57186-11                ,5718610227      ,武汉航达,3434.0,6387.49,7451:04,4769,（完全禁订）PUMP                                            ,6613644,00009230
73N,73N06724,1323    ,DE    ,CC    ,57186-10                ,571868330       ,29, , ,SCH   ,2018-01-05,161:00,54,00:00,0,2018-01-15,265:14,102,104:14,48,,104:14,  航后依据AMM29-11-21更换B系统EMDP测试正常. 完成借件拆还. 刘晓楠AF REFER TO AMM29-11-21 REPLACED B SYSTEM EMDP TEST OK ACCOMPLISHEDLCAN.,48,57186-10                ,218530          ,,2119.0,5129.28,, ,（完全禁订）PUMP                                            ,5728864,00010328
73N,73N02938,5482    ,DE    ,CC    ,57186-10                ,571869439       ,29,X,X,FAIL  ,2018-02-06,26613:26,14460,00:00,0,2018-03-10,26929:50,14591,316:24,131,,316:24,"  因航材需求,依据AMM29-11-21更换液压A系统EMDP,测试正常  李然 雷锐持due top spare requirement refer to AMM29-11-21 replaced the SYS A EMDP test it ok",131,57186-11                ,5718610907      ,,2041.0,4773.37,, ,（完全禁订）PUMP                                            ,5929568,00010510
73N,73N03186,5503    ,DE    ,CC    ,57186-10                ,571868384       ,29,X,X,FAIL  ,2014-10-03,14886:45,7718,353:17,285,2015-08-09,17458:12,9097,2924:44,1664,航后检查B系统EMDP供压低.叶明海AF CHECK HYDRALIC SYSTEM B EMDP SUPPLIED PRESSURE LOW LEVEL.,2571:27," 航后依据AMM29-11-21更换EMDP,测试结果正常.郑壮雄AF REF AMM29-11-21 REPLACE EMDP,TEST OK.",1379,57186-10                ,571869072       ,PARKER  US,6139.0,10769.32,2571:27,1379,（完全禁订）PUMP                                            ,3384723,0002903A
73N,73N05678,7113    ,DE    ,CC    ,57186-10                ,571868462       ,29,X,X,FAIL  ,2016-09-10,2776:07,1400,4590:52,2453,2017-06-23,5408:13,2678,7222:58,3731,,2632:06,"      FROM FLB00011597A航后依据AMM29-11-21更换EMDP并测试工作正常,不漏油。办理FC201717352郭本强AF REF AMM29-11-21REPLACED THE EMDP AND TEST IT NORMAL.NO LEAKAGE.OPEN FC201717352.装上件件号：NAS1617-10、NAS1617-12、NAS1617-8A拆下件件号：NAS1617-10、NAS1617-12、NAS1617-8A",1278,57186-10                ,571865623       ,PARKER  US,46.0,93.2,2632:06,1278,（完全禁订）PUMP                                            ,5080441,0011599A
73N,73N05678,7113    ,DE    ,CC    ,57186-10                ,571865623       ,29, , ,SCH   ,2017-06-23,5408:13,2678,00:00,0,2017-07-04,5501:33,2724,93:20,46,,93:20,"   航后依据AMM29-11-21更换EMDP并测试正常，办理FC201718544.陈海林AF REFER TO AMM29-11-21 REPLACE EMDP THEN TEST OK,OPENPN:NAS1612-10，NAS1612-6，NAS1612-12",46,57186-10                ,57186K2986      ,,32603.0,52320.42,, ,（完全禁订）PUMP                                            ,5110395,0013150B
73N,73N03186,5503    ,DE    ,CC    ,57186-10                ,571869072       ,29,X,X,FAIL  ,2015-08-09,17458:12,9097,00:00,0,2017-06-05,23618:46,12838,6160:34,3741,航后检查B系统EMDP壳体回油滤有大量小金属碎屑。叶先镇AF CHECK B SYS EMDP ACOUSTIC FILTER FOUND MORE METAL MATERIAL.,6160:34,"     航后参考AMM29-11-21更换EMDP B系统和参考AMM29-11-00完成管路冲洗B系统，测试正常。叶先镇AF REF AMM29-11-21 REPLACED B SYSTEM EMDP AND REF AMM29-11-00ACCOMPLISHED HYDRAULIC B SYSTEM FLUSHING ,TEST NORMAL.PN:NAS1611-228A(2EA),7588561(2EA),7577741(2EA),7513128(2EA)572314(2EA)",3741,57186-10                ,571864021       ,,100.0,162.25,, ,（完全禁订）PUMP                                            ,5028007,0015938A
