机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,21101           ,21    ,X,X,FAIL  ,2016-05-23,35715:00,17899,00:00,0,2016-06-21,35898:43,17986,183:43,87,,183:43,"    航后依据AMM21-51-01拆下右组件TSV活门完成借件拆还,安装新件检查无漏气渗漏,自检2TC无信息     屈永辉AF REF TO AMM21-51-01 REMOVE RH PACK TCV ACCOMPLISH BOMOVW ANDRETURN INSTALL NEW TCV CEHCK NO LEAKAGE ADN BITE 2TCNO MESSAGE",87,398908-5                ,21908           ,,4750,8590.58,, ,(AOG)VALVE                                                  ,4111069,00000629
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,21908           ,21    ,X,X,FAIL  ,2016-06-21,35898:43,17986,1284:02,643,2016-07-02,35979:00,18026,1364:19,683,航后检查右组件pack 灯亮AF check and found r pack light李龙,80:17,"    航后完成ZTC测试判断为TCV故障,依据AMM21-51-10更换TCV 完成ZTC测试,无信息,检查活门本体无渗漏AF accomplished ztc judye tcv fail refer to AMM21-51-10 replacetcv accomplished ztc test no message check cover no leakage李龙",40,398908-5                ,20483           ,霍尼韦尔,7259,13892.52,80:17,40,(AOG)VALVE                                                  ,4138857,00000688
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,20483           ,21    ,X,X,FAIL  ,2016-07-02,35979:00,18026,6316:04,3248,2016-08-30,36437:24,18271,6774:28,3493,航后检查发现右组件PACK灯亮.杨旭AF CHECK FIND RH PACK LIGHT IS ON,458:24,"   航后自检ZTC2有TCV信息,航后更换右组件TCV并测试正常,自检ZTC2正常无信息杨旭AF BITE ZTC2,THERE IS TCV MESSAGE,AF REPLACED THE RH PACK TCV ANDTEST OK,DO THE ZTC2 BITE,THE RESULT IS NORMAL",245,398908-5                ,27240           ,霍尼韦尔,3791,6488.09,458:24,245,(AOG)VALVE                                                  ,4290158,00001323
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,27240           ,21    ,X,X,FAIL  ,2016-08-30,36437:24,18271,00:00,0,2017-04-18,38394:27,19719,1957:03,1448,,1957:03,  航后依据AMM21-51完成更换温度控制活门测试正常AF refer to AMM21-51 accomplihsed replaced TCV test ok靖徐成,1448,398908-5                ,23173           ,,4198,8273.14,, ,(AOG)VALVE                                                  ,4898172,00002011
73N,73N01649,5115    ,DE    ,CC    ,398908-5                ,18058           ,21    ,X,X,FAIL  ,2016-09-06,38221:13,19310,11506:55,5755,2016-10-27,38599:41,19602,11885:23,6047,,378:28,    FORM FL00002609B航后依据AMM21-51-04更换ACM依据AMM21-51-10更换TCV测试正常   刘建亮李龙AF REF TO AMM21-51-04 REAPLCE THE ACM REF T OAMM21-51-10REAPLCE THE TCV TEST IS OK,292,398908-5                ,11765           ,海口维修室,16169,30765.45,, ,(AOG)VALVE                                                  ,4437137,00002071
73N,73N05695,7198    ,DE    ,CC    ,398908-5                ,25578           ,21    ,X,X,FAIL  ,2015-11-30,00:00,0,00:00,0,2016-01-01,83:21,31,83:21,31,"下降检查单再现时左组件灯亮,复位主警戒后左组件灯灭.    机组",83:21,"   航后自检ZTC1#有TCV信息,依据AMM21-51-10更换左组件TCV,完成测试工作正常.     王奎AF check the ZTC1# have TCV message refer to AMM21-51-10 replacethe refer pack TCV and do the test it's not work",31,398908-3                ,3014            ,,28154,59267.57,, ,(AOG)VALVE                                                  ,3686801,00002163
73N,73N04209,1903    ,DE    ,CC    ,398908-5                ,24508           ,21    , , ,SWAP  ,2016-04-15,10755:41,5046,2385:55,1180,2016-10-28,12424:13,5766,4054:27,1900,,1668:32,"      航后自检ZTC2有TCV信息,由于航材无料,依据AMM21-61-21将右组件TCV与后舱配平活门对串,将后舱配平活门人工锁在关闭位,办理DD201629814完成相关测试,自检ZTC无信息,管路无渗漏   AF bite ZTC2 have TCV message dueto LS refer to AMM21-61-21 change the AFT trim air valveto TCV and manual lock the AFT trim air valve to clsoed makeDD201629814 BITE ZTC no messgae and check the duts no leakage屈永辉",720,398908-3                ,14016           ,霍尼韦尔,14688,27526.03,1668:32,720,(AOG)VALVE                                                  ,4439356,00002768
73N,73N04209,1903    ,DE    ,CC    ,398908-5                ,24508           ,21    ,X,X,FAIL  ,2016-10-28,12424:13,5766,4054:27,1900,2016-10-29,12432:19,5770,4062:33,1904,空中后舱温度过高 按QRH 处理关断 TRIM AIR 情况有缓解 后续前舱温度低机组,08:06,          FLB00002769B过站依据AMM21-00-00/901 重新完成MEL21-36-01A M项测试正常，将后舱配平活门反馈在关闭位TR refer to AMM21-00-00/901 accomplished M item of mel21-36-01Atest is okKWL机务FLB00002770A过站依据AMM21-61-21-000-801 更换后舱配平活门测试无渗漏自检ZTC正常，TR refer to AMM21-61-21-000-801 replaced the trim air valve testok no leakage  关闭DD201629814刘建亮,4,398908-5                ,23426           ,霍尼韦尔,6981,11948.01,1676:38,724,(AOG)VALVE                                                  ,4441718,00002769
73N,73N01649,5115    ,DE    ,CC    ,398908-5                ,20003           ,21    ,X,X,FAIL  ,2016-06-22,37822:53,19010,8574:09,4298,2017-06-06,40422:48,20809,11174:04,6097,"空中再现时,右侧PACK灯亮,复位后熄灭   机组",2599:55,   航后自检ZTC2 有ACT信息  依据AMM21-51-21更换ACT 依据AMM21-51-10更换TCV 结果测试正常     吴昊AF BITE TEST ZTC2 HAVE ACT MESSAGE REF TO AMM21-51-21REPACLE ACT REF TO AMM21-51 REPALCE TCV TEST IS NORMAL,1799,398908-5                ,24555           ,霍尼韦尔,4437,7887.36,2599:55,1799,(AOG)VALVE                                                  ,5031956,00003364
73N,73N01649,5115    ,DE    ,CC    ,398908-5                ,11765           ,21    ,X,X,FAIL  ,2016-10-27,38599:41,19602,23867:12,12608,2017-06-08,40440:28,20819,25707:59,13825,,1840:47,"  航后依据AMM21-51-10更换左侧空调TCV,测试正常 AF refer AMM21-51-10replaced l air condition is tcv test ok 王岗  OFF:398908-5/11765ON:398908-5/2977",1217,398908-3                ,2977            ,海口维修室,33794,63452.58,, ,(AOG)VALVE                                                  ,5035730,00003374
