机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02811,2970    ,DE    ,CC    ,398908-3                ,2341            ,21    , , ,SCH   ,2003-01-12,00:00,0,00:00,0,2004-10-01,24857:56,15916,24857:56,15916,,24857:56,  航后完成MAOTG210017按AMM21-61-21程序拆装更换左组件TCV并完成测试工作正常。 挂签：1000622袁彬,15916,398908-3                ,2313            ,,23611,41635.27,, ,(AOG)VALVE(重点监控件号)                                    ,142145,0012640 
73C,73C02922,2987    ,DE    ,CC    ,398908-3                ,2621            ,21    ,X,X,FAIL  ,2003-06-11,00:00,0,00:00,0,2005-10-09,25487:59,14636,25487:59,14636,T10058314,25487:59,更换温度控制活门CTV，测试正常。田庆军 挂签号1002185,14636,398908-3                ,3623            ,,25200,41283.14,, ,(AOG)VALVE(重点监控件号)                                    ,235793,10058315
73C,73C02793,2967    ,DE    ,CC    ,398908-3                ,285C            ,21    ,X, ,SWAP  ,2005-01-14,26498:45,16905,00:00,0,2006-07-24,31348:53,19979,4850:08,3074,TL:10073114,4850:08,"  航后自检2#ZTC上有TCV信息,将本机前舱配平空气调节活门与右PACK TCV对串故障依旧,更换2#ZTC TCV,并完成相关测试,再现时无警告牌亮,系统工作正常.丁湛",3074,398908-3                ,229C            ,海口维修室,29015,47377.21,, ,(AOG)VALVE(重点监控件号)                                    ,317331,10073116
73Q,73C03106,2576    ,DE    ,CC    ,398908-3                ,4499            ,21    ,X,X,FAIL  ,2000-01-01,2071:19,1379,18630:01,11597,2009-05-20,32271:23,19650,48830:05,29868,,30200:04,"        根据技术组排故建议，目视检查驾驶舱通风口无异常，清洁驾驶舱温度传感器及其滤网，在进行空调性能测试时，当右组件放高流量后，组件跳开，自检ZTC有TCV信息，对串ZTC故障依旧，串回ZTC更换主TCV并反向冲洗右组件主/次级热交换器，测试空调工作正常，并完成空调性能测试。曾亮TAG:2007282 FL10293696 AF visual check teh vent hole in teh flightdeck is normal,dean the temperature sensor filter test the right packfound teh pack is tripped off we swapt the ZTC and replace the TCVand wash teh heat exchangers the air condition works normally. 
CC143333
",18271,398908-3                ,4355            ,,31253,49094.24,, ,(AOG)VALVE(重点监控件号)                                    ,710979,10293695
73N,73N00515,5081    ,DE    ,CC    ,398908-3                ,4218            ,21    ,X,X,FAIL  ,2000-04-30,25744:01,12111,24791:38,11603,2011-09-14,39907:14,19661,38954:51,19153,起动好后再现时左PACK灯亮.  机组,14163:13,"      按MEL21-32飞机可以放行.  严俊超FLB10435375B 过站自检ZTC1有TCV信息,清除故障代码后,测试正常. 张文涛TR BITE ZTC1 has TCV message reset the fault code test ok.FLB10435376A 航后依据AMM21-51-01更换左组件TCV测试控制器无故障信息空调工作正常.  挂签号 1003205  陆思名AF refer to AMM21-51-01 replace left air condition assy TCV test isok.  TAG 1003205",7550,398908-3                ,12409           ,武汉航达,15054,29780.1,14163:13,7550,(AOG)VALVE(重点监控件号)                                    ,1341143,10435375
73C,73C02782,2965    ,DE    ,CC    ,398908-3                ,3102            ,21    ,X,X,FAIL  ,2002-12-02,00:00,0,00:00,0,2005-11-20,29731:34,18916,29731:34,18916,过站检查发现右空调PACK灯亮。 董长宇,29731:34, 过站检查右区域温度控制器有TCV故障信息，按AMM21-61-21更换TCV并完成相关测试。 挂签号1018531       林默,18916,398908-3                ,3469            ,,13703,25912.38,, ,(AOG)VALVE(重点监控件号)                                    ,246998,10074464
73N,73N00515,5081    ,DE    ,CC    ,398908-3                ,4107            ,21    ,X,X,FAIL  ,2000-04-30,19785:41,8756,19362:12,8922,2013-11-27,47480:40,23301,47057:11,23467,"前舱区域温度灯亮,完成检查单后仍亮.   机组",27694:59,"    航后自检27C上有温度控制活门信息,依据 AMM21-62-00 更换前舱温度控制活门后测试正常无渗漏.   挂签号 3022569   顾建AF self-inspection have fault message of TEMP control valve on 27Crefer to AMM21-62-00 replace the FWD cabin TEMP control valve andtest is normal",14545,398908-3                ,10089           ,海口维修室,11372,22515.01,27702:31,14548,(AOG)VALVE(重点监控件号)                                    ,2312182,10707635
73C,73C02543,2990    ,DE    ,CC    ,398908-3                ,2985            ,21    ,X,X,FAIL  ,2002-09-06,00:00,0,00:00,0,2006-04-22,33909:23,27462,33909:23,27462,航后检查驾驶舱区域温度灯亮（再现） 王忠义,33909:23,  测试区域温度控制组件2＃有配平活门信息，按AMM21-61-95更换驾驶舱配平活门，测试区域温度控制组件2＃无信息，再现无警告灯。王忠义挂签号：1000520,27462,398908-3                ,5988            ,,12442,22940.29,, ,(AOG)VALVE(重点监控件号)                                    ,290865,10116780
73C,73C02793,2967    ,DE    ,CC    ,398908-3                ,2982            ,21    ,X,X,FAIL  ,2004-12-15,26291:58,16794,00:00,0,2006-04-12,30370:23,19450,4078:25,2656,FROM TL10142462,4078:25,航后按AMM21-61-95更换后舱配平空气调节活门，并通过相关测试。严策,2656,398908-3                ,8108            ,,19107,39277.59,, ,(AOG)VALVE(重点监控件号)                                    ,287933,10142466
73C,73C02543,2990    ,DE    ,CC    ,398908-3                ,2111            ,21    ,X,X,FAIL  ,2002-06-08,00:00,0,00:00,0,2006-05-12,34088:52,27577,34088:52,27577,再现时，右PACK灯亮，复位不了，按主警告灯时，PACK灯灭，空中增压情况正常。机组,34088:52, AF更换右空调TCV，测试正常。常磊挂签号1003292,27577,398908-3                ,2368            ,,32986,63629.18,, ,(AOG)VALVE(重点监控件号)                                    ,296443,10144193
